epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,378.896,0.48019,0.75254,0.63781,0.90949,0.9282,0.94516,0.85517,0.44161,0.58404,0.6481,0.000439956,0.000439956,0.000439956
88,382.678,0.42187,0.66747,0.61381,0.92834,0.90918,0.96431,0.87151,0.4478,0.57026,0.64757,0.000434502,0.000434502,0.000434502
89,388.045,0.52044,0.70122,0.65816,0.92238,0.92708,0.96829,0.8815,0.45276,0.56163,0.65189,0.000429048,0.000429048,0.000429048
90,392.073,0.51014,0.82468,0.64394,0.9137,0.93384,0.96712,0.85641,0.46319,0.56815,0.65798,0.000423594,0.000423594,0.000423594
91,395.367,0.51663,0.74095,0.67543,0.91248,0.95586,0.96692,0.85704,0.46152,0.56225,0.65743,0.00041814,0.00041814,0.00041814
92,400.766,0.48483,0.7157,0.62611,0.8905,0.95207,0.96995,0.87992,0.43808,0.5468,0.64729,0.000412686,0.000412686,0.000412686
93,405.197,0.48267,0.75134,0.64143,0.91601,0.93098,0.96387,0.88415,0.42857,0.54479,0.63795,0.000407232,0.000407232,0.000407232
94,409.145,0.45681,0.65898,0.61429,0.90128,0.94676,0.95862,0.87107,0.42932,0.54859,0.63562,0.000401778,0.000401778,0.000401778
95,413.34,0.453,0.66611,0.6356,0.89491,0.94346,0.96158,0.87598,0.4363,0.55115,0.63946,0.000396324,0.000396324,0.000396324
96,418.163,0.49162,0.71665,0.63716,0.91009,0.90069,0.96844,0.88675,0.45013,0.57095,0.65073,0.00039087,0.00039087,0.00039087
97,422.03,0.43956,0.64728,0.61878,0.90196,0.90015,0.97102,0.89062,0.4414,0.57239,0.64978,0.000385416,0.000385416,0.000385416
98,426.069,0.38861,0.66278,0.6127,0.86889,0.94082,0.97068,0.89127,0.43578,0.57513,0.64754,0.000379962,0.000379962,0.000379962
99,431.318,0.41771,0.69127,0.62882,0.85644,0.94584,0.96962,0.89191,0.42969,0.56473,0.64119,0.000374508,0.000374508,0.000374508
100,435.218,0.47227,0.66563,0.64249,0.9148,0.96388,0.98174,0.90318,0.43399,0.51666,0.63522,0.000369054,0.000369054,0.000369054
101,439.203,0.46355,0.64323,0.653,0.92885,0.9753,0.98131,0.89796,0.44036,0.49577,0.63416,0.0003636,0.0003636,0.0003636
102,444.427,0.47789,0.67124,0.66325,0.94202,0.97451,0.9812,0.90047,0.44415,0.47571,0.63082,0.000358146,0.000358146,0.000358146
103,448.277,0.4426,0.71721,0.63266,0.95027,0.9744,0.97998,0.90287,0.43584,0.464,0.63215,0.000352692,0.000352692,0.000352692
104,452.343,0.40983,0.60782,0.60412,0.92056,0.96755,0.97095,0.89824,0.41811,0.46001,0.63499,0.000347238,0.000347238,0.000347238
105,457.534,0.44865,0.64451,0.62975,0.9324,0.95912,0.97036,0.89763,0.41354,0.46038,0.63731,0.000341784,0.000341784,0.000341784
106,461.623,0.47067,0.65761,0.64537,0.95886,0.95212,0.98199,0.91193,0.41744,0.45468,0.63817,0.00033633,0.00033633,0.00033633
107,464.73,0.46727,0.68976,0.67003,0.92955,0.96621,0.9825,0.9129,0.42511,0.46813,0.63551,0.000330876,0.000330876,0.000330876
108,468.979,0.44464,0.62873,0.62689,0.89764,0.97402,0.98144,0.9067,0.42036,0.51526,0.62929,0.000325422,0.000325422,0.000325422
109,474.691,0.48569,0.67514,0.65434,0.90255,0.96535,0.98293,0.90393,0.40891,0.51928,0.62726,0.000319968,0.000319968,0.000319968
110,478.465,0.46328,0.7482,0.63863,0.91133,0.94645,0.98203,0.90123,0.40812,0.50882,0.62764,0.000314514,0.000314514,0.000314514
111,482.417,0.45811,0.66537,0.633,0.92814,0.94516,0.98317,0.90555,0.41098,0.49869,0.62884,0.00030906,0.00030906,0.00030906
112,487.957,0.45597,0.67761,0.63219,0.95555,0.92716,0.98319,0.90318,0.40784,0.47355,0.6343,0.000303606,0.000303606,0.000303606
113,492.042,0.43539,0.62638,0.62236,0.95919,0.92671,0.98415,0.90962,0.40731,0.47549,0.63718,0.000298152,0.000298152,0.000298152
114,495.841,0.40641,0.64187,0.62239,0.9628,0.9218,0.98449,0.9053,0.41402,0.48356,0.64071,0.000292698,0.000292698,0.000292698
115,500.267,0.40595,0.64787,0.61726,0.96371,0.92803,0.98464,0.91101,0.4139,0.48509,0.64059,0.000287244,0.000287244,0.000287244
116,504.659,0.40993,0.62235,0.62228,0.96552,0.93856,0.98509,0.91101,0.40404,0.47665,0.64367,0.00028179,0.00028179,0.00028179
